name,phone,type,character,loan_his,bank,amount,term,address,lat,lon,notes,time_visit,image_path,timestamp
Customer 241,0100240,Fashion & Clothing,Uninterested,Never,ACLEDA,6607.8,24M,"Street 162, Phnom Penh",11.538348167908385,104.94228309051263,Repeat visit,2:00 AM,,2025-06-20 01:23:52
Customer 242,0100241,Fashion & Clothing,Talkative and Engaging,Many times,ABA,9551.51,18M,"Street 165, Phnom Penh",11.588829650376601,104.89154985817545,Repeat visit,4:00 AM,,2025-06-03 01:23:52
Customer 243,0100242,Agriculture/Farming,Friendly and Open,Once,ABA,1607.23,6M,"Street 155, Phnom Penh",11.541202307219285,104.88195178051498,Need follow-up,8:00 AM,,2025-06-16 01:23:52
Customer 244,0100243,Agriculture/Farming,Friendly and Open,Never,Cambodia Post Bank,864.16,18M,"Street 450, Phnom Penh",11.546183139011932,104.91392017436213,Need follow-up,1:00 AM,20250615_213943.jpeg,2025-05-31 01:23:52
Customer 245,0100244,Repair Services,Skeptical or Distrustful,Never,Cambodia Post Bank,7869.91,12M,"Street 407, Phnom Penh",11.545834144506939,104.93092563531481,No answer,1:00 AM,2025-06-23 01.03.53.jpg,2025-06-01 01:23:52
Customer 246,0100245,Beauty Salon,Uninterested,Never,None,7474.53,24M,"Street 498, Phnom Penh",11.595027920002552,104.8849264724507,Interested,1:00 AM,,2025-06-17 01:23:52
Customer 247,0100246,Fashion & Clothing,Uninterested,Never,ACLEDA,2514.01,18M,"Street 320, Phnom Penh",11.54936959547732,104.8653518315424,No answer,12:00 AM,,2025-06-12 01:23:52
Customer 248,0100247,Electronics & Appliances,Busy or in a Hurry,Never,ABA,8667.73,24M,"Street 311, Phnom Penh",11.573869771119382,104.90146291411239,Need follow-up,4:00 AM,,2025-06-02 01:23:52
Customer 249,0100248,Agriculture/Farming,Interested but Cautious,Once,Cambodia Post Bank,8469.1,18M,"Street 480, Phnom Penh",11.566417882654687,104.89494191174687,Interested,3:00 AM,2025-06-23 01.02.07.jpg,2025-06-21 01:23:52
Customer 250,0100249,Agriculture/Farming,Uninterested,Once,ACLEDA,8467.26,18M,"Street 159, Phnom Penh",11.543933758005151,104.85577417183376,Interested,6:00 AM,,2025-06-11 01:23:52
Customer 251,0100250,Street Food Stall,Skeptical or Distrustful,Never,None,2297.06,12M,"Street 288, Phnom Penh",11.558197749683668,104.87315508291786,Need follow-up,8:00 AM,,2025-05-29 01:23:52
Customer 252,0100251,Fashion & Clothing,Interested but Cautious,Once,Cambodia Post Bank,8486.94,18M,"Street 395, Phnom Penh",11.532495359791149,104.88023700200746,Interested,1:00 AM,2025-06-23 01.04.08.jpg,2025-05-31 01:23:52
Customer 253,0100252,Repair Services,Hard to Understand,Once,ACLEDA,9522.11,18M,"Street 316, Phnom Penh",11.572771831437393,104.91032105571888,Repeat visit,12:00 AM,,2025-06-13 01:23:52
Customer 254,0100253,Electronics & Appliances,Busy or in a Hurry,Once,ACLEDA,5683.92,24M,"Street 360, Phnom Penh",11.55621122386277,104.85376036256781,Repeat visit,4:00 AM,2025-06-23 01.02.50.jpg,2025-06-02 01:23:52
Customer 255,0100254,Electronics & Appliances,Aggressive or Pushy,Once,ABA,4766.88,12M,"Street 167, Phnom Penh",11.521713002279194,104.92953705440185,Interested,1:00 AM,2025-06-23 01.05.23.jpg,2025-06-14 01:23:52
Customer 256,0100255,Repair Services,Interested but Cautious,Never,Wing,2688.15,24M,"Street 301, Phnom Penh",11.591516333097067,104.92954752564488,Repeat visit,7:00 AM,,2025-06-21 01:23:52
Customer 257,0100256,Street Food Stall,Quiet and Reserved,Many times,Wing,4985.95,18M,"Street 264, Phnom Penh",11.577212327076767,104.90460796165819,Repeat visit,3:00 AM,,2025-06-11 01:23:52
Customer 258,0100257,Tourism/Hospitality,Very Welcoming,Never,None,9018.27,6M,"Street 406, Phnom Penh",11.542321130218143,104.9368581573545,Interested,10:00 AM,,2025-05-25 01:23:52
Customer 259,0100258,Beauty Salon,Friendly and Open,Once,ABA,579.65,24M,"Street 69, Phnom Penh",11.5386262731243,104.91891281458007,No answer,9:00 AM,,2025-06-08 01:23:52
Customer 260,0100259,Beauty Salon,Friendly and Open,Once,None,2651.92,18M,"Street 77, Phnom Penh",11.55201167046627,104.8855965794788,Interested,10:00 AM,,2025-05-26 01:23:52
Customer 261,0100260,Beauty Salon,Uninterested,Many times,ACLEDA,9247.38,24M,"Street 151, Phnom Penh",11.577940569806527,104.92089912986704,Repeat visit,9:00 AM,,2025-06-02 01:23:52
Customer 262,0100261,Restaurant/Café,Hard to Understand,Once,None,5835.37,12M,"Street 56, Phnom Penh",11.538914201372524,104.90037390043207,Need follow-up,5:00 AM,,2025-05-30 01:23:52
Customer 263,0100262,Agriculture/Farming,Quiet and Reserved,Many times,Cambodia Post Bank,7015.87,18M,"Street 255, Phnom Penh",11.584672510592736,104.87856843229797,Repeat visit,7:00 AM,,2025-06-14 01:23:52
Customer 264,0100263,Tourism/Hospitality,Talkative and Engaging,Never,Wing,6940.54,18M,"Street 406, Phnom Penh",11.543566102621412,104.8747999011802,Need follow-up,2:00 AM,,2025-05-28 01:23:52
Customer 265,0100264,Fashion & Clothing,Skeptical or Distrustful,Never,None,8028.86,24M,"Street 116, Phnom Penh",11.541993152318145,104.89216023815005,Repeat visit,7:00 AM,,2025-06-14 01:23:52
Customer 266,0100265,Tourism/Hospitality,Hard to Understand,Once,None,9596.64,12M,"Street 480, Phnom Penh",11.589960477762316,104.92680645999266,No answer,6:00 AM,2025-06-23 01.02.34.jpg,2025-05-31 01:23:52
Customer 267,0100266,Street Food Stall,Skeptical or Distrustful,Never,Wing,8174.5,6M,"Street 103, Phnom Penh",11.53627477869147,104.92284609597574,Need follow-up,5:00 AM,20250615_214300.jpeg,2025-06-18 01:23:52
Customer 268,0100267,Restaurant/Café,Skeptical or Distrustful,Many times,Cambodia Post Bank,9575.63,6M,"Street 144, Phnom Penh",11.57445552863704,104.9104857913584,Repeat visit,1:00 AM,2025-06-23 01.02.46.jpg,2025-06-09 01:23:52
Customer 269,0100268,Repair Services,Friendly and Open,Once,ACLEDA,3564.2,18M,"Street 383, Phnom Penh",11.534342766359877,104.8572036968057,Repeat visit,10:00 AM,,2025-06-16 01:23:52
Customer 270,0100269,Tourism/Hospitality,Skeptical or Distrustful,Many times,ABA,2948.12,18M,"Street 200, Phnom Penh",11.54987684689768,104.92816630242152,No answer,2:00 AM,,2025-05-26 01:23:52
Customer 271,0100270,Electronics & Appliances,Talkative and Engaging,Never,None,9112.77,18M,"Street 248, Phnom Penh",11.55250731835793,104.92457451137878,Need follow-up,9:00 AM,,2025-06-18 01:23:52
Customer 272,0100271,Repair Services,Busy or in a Hurry,Once,Cambodia Post Bank,5669.72,12M,"Street 65, Phnom Penh",11.58569636548395,104.85755693980772,Repeat visit,9:00 AM,,2025-06-18 01:23:52
Customer 273,0100272,Restaurant/Café,Quiet and Reserved,Never,Cambodia Post Bank,9445.86,18M,"Street 393, Phnom Penh",11.566890691720698,104.89771868025478,No answer,9:00 AM,2025-06-23 01.05.23.jpg,2025-06-19 01:23:52
Customer 274,0100273,Tourism/Hospitality,Talkative and Engaging,Once,ABA,3274.02,6M,"Street 78, Phnom Penh",11.54803829843798,104.90367980137583,Interested,2:00 AM,20250615_213943.jpeg,2025-06-04 01:23:52
Customer 275,0100274,Beauty Salon,Very Welcoming,Once,Cambodia Post Bank,5860.6,18M,"Street 421, Phnom Penh",11.54633999427227,104.94097420425909,No answer,2:00 AM,20250615_214300.jpeg,2025-06-18 01:23:52
Customer 276,0100275,General Retail,Interested but Cautious,Never,ACLEDA,4394.73,24M,"Street 122, Phnom Penh",11.598584344111663,104.9365441576671,Interested,10:00 AM,,2025-06-04 01:23:52
Customer 277,0100276,Beauty Salon,Hard to Understand,Many times,None,2119.84,12M,"Street 212, Phnom Penh",11.534113503980414,104.91085164165099,No answer,6:00 AM,,2025-06-06 01:23:52
Customer 278,0100277,Repair Services,Busy or in a Hurry,Many times,Cambodia Post Bank,3998.19,6M,"Street 89, Phnom Penh",11.572014525939634,104.92665391117048,Interested,5:00 AM,,2025-06-06 01:23:52
Customer 279,0100278,Beauty Salon,Friendly and Open,Never,Cambodia Post Bank,7939.88,12M,"Street 49, Phnom Penh",11.573684550449778,104.90169509327308,No answer,8:00 AM,,2025-06-06 01:23:52
Customer 280,0100279,Electronics & Appliances,Skeptical or Distrustful,Once,ACLEDA,2068.72,6M,"Street 451, Phnom Penh",11.57423408612649,104.8681402897188,No answer,2:00 AM,,2025-06-05 01:23:52
Customer 281,0100280,Beauty Salon,Quiet and Reserved,Many times,Cambodia Post Bank,4781.16,18M,"Street 426, Phnom Penh",11.550075539920718,104.8671842624918,Interested,7:00 AM,,2025-06-03 01:23:52
Customer 282,0100281,Street Food Stall,Very Welcoming,Once,Wing,6145.56,12M,"Street 442, Phnom Penh",11.541761986726282,104.93789369922462,No answer,12:00 AM,,2025-06-10 01:23:52
Customer 283,0100282,Fashion & Clothing,Busy or in a Hurry,Once,Cambodia Post Bank,5963.48,6M,"Street 260, Phnom Penh",11.529116651479898,104.92429469482738,Interested,11:00 AM,,2025-06-07 01:23:52
Customer 284,0100283,Fashion & Clothing,Hard to Understand,Never,None,2563.54,12M,"Street 174, Phnom Penh",11.587133831910174,104.93965915456985,No answer,3:00 AM,,2025-06-20 01:23:52
Customer 285,0100284,Tourism/Hospitality,Uninterested,Never,ACLEDA,8647.52,12M,"Street 77, Phnom Penh",11.539622503572579,104.8969355470806,No answer,4:00 AM,20250615_214300.jpeg,2025-06-21 01:23:52
Customer 286,0100285,Agriculture/Farming,Uninterested,Never,ACLEDA,899.71,12M,"Street 159, Phnom Penh",11.57007551704761,104.90351880437879,No answer,8:00 AM,,2025-06-19 01:23:52
Customer 287,0100286,Tourism/Hospitality,Hard to Understand,Once,Wing,3531.05,18M,"Street 46, Phnom Penh",11.535624801270606,104.94218193948707,Repeat visit,2:00 AM,,2025-06-23 01:23:52
Customer 288,0100287,Tourism/Hospitality,Aggressive or Pushy,Once,Cambodia Post Bank,9193.13,12M,"Street 448, Phnom Penh",11.558206547826613,104.90194371268505,Need follow-up,5:00 AM,,2025-06-16 01:23:52
Customer 289,0100288,Agriculture/Farming,Interested but Cautious,Many times,ACLEDA,3468.28,12M,"Street 270, Phnom Penh",11.550198296044107,104.91707739699449,Need follow-up,4:00 AM,,2025-06-04 01:23:52
Customer 290,0100289,Repair Services,Very Welcoming,Never,ACLEDA,7450.51,6M,"Street 384, Phnom Penh",11.557358053960987,104.89649613142277,No answer,8:00 AM,,2025-06-08 01:23:52
Customer 291,0100290,Fashion & Clothing,Quiet and Reserved,Once,None,6527.3,12M,"Street 77, Phnom Penh",11.591050311854193,104.85133504453954,Repeat visit,8:00 AM,,2025-06-05 01:23:52
Customer 292,0100291,General Retail,Skeptical or Distrustful,Never,Wing,1412.37,12M,"Street 469, Phnom Penh",11.549625085102024,104.93363449545292,No answer,9:00 AM,20250615_214300.jpeg,2025-06-15 01:23:52
Customer 293,0100292,Electronics & Appliances,Uninterested,Many times,ACLEDA,4712.5,12M,"Street 371, Phnom Penh",11.589511362154512,104.93448083727715,No answer,3:00 AM,,2025-05-30 01:23:52
Customer 294,0100293,Beauty Salon,Busy or in a Hurry,Never,Wing,2375.95,24M,"Street 483, Phnom Penh",11.52795311358717,104.8992446868309,Repeat visit,4:00 AM,,2025-05-30 01:23:52
Customer 295,0100294,Street Food Stall,Skeptical or Distrustful,Once,None,1660.26,24M,"Street 194, Phnom Penh",11.57986687992018,104.8673583408268,Repeat visit,7:00 AM,,2025-05-26 01:23:52
Customer 296,0100295,General Retail,Talkative and Engaging,Never,None,1041.94,18M,"Street 222, Phnom Penh",11.589514848467415,104.8800715541778,Need follow-up,12:00 AM,,2025-06-12 01:23:52
Customer 297,0100296,Fashion & Clothing,Interested but Cautious,Many times,Cambodia Post Bank,6286.99,24M,"Street 350, Phnom Penh",11.580973967947992,104.86244432749672,No answer,5:00 AM,,2025-06-04 01:23:52
Customer 298,0100297,Restaurant/Café,Busy or in a Hurry,Never,Wing,3808.46,24M,"Street 284, Phnom Penh",11.56619690379568,104.94932895000048,Repeat visit,12:00 AM,,2025-06-01 01:23:52
Customer 299,0100298,Tourism/Hospitality,Friendly and Open,Many times,Cambodia Post Bank,2712.14,24M,"Street 372, Phnom Penh",11.547399275680583,104.8704992525651,Interested,12:00 AM,,2025-06-02 01:23:52
Customer 300,0100299,Street Food Stall,Aggressive or Pushy,Never,ABA,6808.31,6M,"Street 181, Phnom Penh",11.57779130581735,104.94775256097408,Need follow-up,5:00 AM,,2025-06-12 01:23:52
Customer 301,0100300,Beauty Salon,Uninterested,Many times,ACLEDA,1939.38,6M,"Street 131, Phnom Penh",11.551151783408507,104.85217420547188,No answer,9:00 AM,,2025-06-13 01:23:52
Customer 302,0100301,Beauty Salon,Busy or in a Hurry,Never,Wing,3638.17,12M,"Street 144, Phnom Penh",11.567988895175343,104.87391888432202,Need follow-up,12:00 AM,,2025-05-31 01:23:52
Customer 303,0100302,General Retail,Interested but Cautious,Once,ABA,4461.41,12M,"Street 256, Phnom Penh",11.598314924388681,104.86690937081327,Interested,11:00 AM,,2025-06-15 01:23:52
Customer 304,0100303,Electronics & Appliances,Interested but Cautious,Many times,Wing,6367.98,24M,"Street 62, Phnom Penh",11.564407345144879,104.86869230274323,Need follow-up,8:00 AM,,2025-05-24 01:23:52
Customer 305,0100304,Electronics & Appliances,Very Welcoming,Many times,Wing,8776.16,24M,"Street 459, Phnom Penh",11.590837509943826,104.90880470535531,No answer,4:00 AM,2025-06-23 01.05.23.jpg,2025-06-16 01:23:52
Customer 306,0100305,Street Food Stall,Talkative and Engaging,Many times,None,8594.35,18M,"Street 4, Phnom Penh",11.526285618106515,104.88422494992757,Need follow-up,3:00 AM,,2025-06-15 01:23:52
Customer 307,0100306,General Retail,Busy or in a Hurry,Never,Wing,1236.29,18M,"Street 442, Phnom Penh",11.59879249109491,104.89936846780499,Interested,9:00 AM,,2025-06-03 01:23:52
Customer 308,0100307,Electronics & Appliances,Aggressive or Pushy,Many times,None,7829.06,24M,"Street 397, Phnom Penh",11.56048702918817,104.9040058817033,Need follow-up,9:00 AM,2025-06-23 01.02.19.jpg,2025-06-21 01:23:52
Customer 309,0100308,Fashion & Clothing,Aggressive or Pushy,Once,None,3065.41,24M,"Street 140, Phnom Penh",11.577177516140932,104.88666546983922,Repeat visit,5:00 AM,,2025-06-17 01:23:52
Customer 310,0100309,Restaurant/Café,Very Welcoming,Many times,Wing,4478.27,12M,"Street 179, Phnom Penh",11.563449096948485,104.94972438890767,No answer,9:00 AM,,2025-06-05 01:23:52
Customer 311,0100310,Beauty Salon,Very Welcoming,Many times,ABA,7538.89,12M,"Street 500, Phnom Penh",11.5337395659576,104.93345433253873,Repeat visit,1:00 AM,20250615_214300.jpeg,2025-06-08 01:23:52
Customer 312,0100311,Beauty Salon,Very Welcoming,Once,Cambodia Post Bank,3704.54,18M,"Street 205, Phnom Penh",11.583610488341142,104.92255655573217,Repeat visit,3:00 AM,2025-06-23 01.02.50.jpg,2025-06-13 01:23:52
Customer 313,0100312,Repair Services,Hard to Understand,Many times,Wing,3832.42,6M,"Street 441, Phnom Penh",11.577577350838636,104.91385475595293,Need follow-up,5:00 AM,,2025-06-07 01:23:52
Customer 314,0100313,General Retail,Uninterested,Never,None,2351.05,18M,"Street 27, Phnom Penh",11.573164161941126,104.8584349401849,No answer,11:00 AM,,2025-06-01 01:23:52
Customer 315,0100314,Beauty Salon,Uninterested,Many times,None,6946.84,12M,"Street 64, Phnom Penh",11.562709597722755,104.92812108711212,Repeat visit,3:00 AM,,2025-06-01 01:23:52
Customer 316,0100315,Restaurant/Café,Aggressive or Pushy,Never,Wing,5429.14,24M,"Street 251, Phnom Penh",11.573224847671444,104.92293310863006,Need follow-up,5:00 AM,,2025-06-21 01:23:52
Customer 317,0100316,Repair Services,Talkative and Engaging,Many times,Wing,9346.77,6M,"Street 434, Phnom Penh",11.59108321865958,104.91335311969364,Repeat visit,5:00 AM,,2025-05-31 01:23:52
Customer 318,0100317,General Retail,Interested but Cautious,Once,Cambodia Post Bank,1089.6,24M,"Street 363, Phnom Penh",11.572758754902491,104.8976028629938,Interested,7:00 AM,,2025-06-23 01:23:52
Customer 319,0100318,Beauty Salon,Friendly and Open,Once,None,2209.41,12M,"Street 128, Phnom Penh",11.57223926826518,104.89767617103095,Repeat visit,3:00 AM,,2025-06-09 01:23:52
Customer 320,0100319,Beauty Salon,Hard to Understand,Never,None,5934.95,12M,"Street 222, Phnom Penh",11.527842174666816,104.85612273188735,No answer,9:00 AM,2025-06-23 01.02.07.jpg,2025-06-05 01:23:52
Customer 321,0100320,Street Food Stall,Busy or in a Hurry,Once,None,1434.44,24M,"Street 330, Phnom Penh",11.59016987690903,104.89354329636849,No answer,1:00 AM,,2025-06-04 01:23:52
Customer 322,0100321,General Retail,Aggressive or Pushy,Once,None,5581.77,18M,"Street 426, Phnom Penh",11.597006959288509,104.85316846947521,Interested,10:00 AM,,2025-06-04 01:23:52
Customer 323,0100322,Beauty Salon,Hard to Understand,Many times,Wing,4916.86,6M,"Street 333, Phnom Penh",11.598259589097339,104.88070863013513,Need follow-up,8:00 AM,,2025-05-31 01:23:52
Customer 324,0100323,Repair Services,Skeptical or Distrustful,Once,ABA,3632.2,12M,"Street 89, Phnom Penh",11.540271143185333,104.89665705983971,Repeat visit,4:00 AM,,2025-05-30 01:23:52
Customer 325,0100324,Tourism/Hospitality,Uninterested,Once,ABA,737.38,12M,"Street 164, Phnom Penh",11.546135576601117,104.9317169060781,Interested,5:00 AM,,2025-06-15 01:23:52
Customer 326,0100325,Fashion & Clothing,Friendly and Open,Never,ACLEDA,3178.72,6M,"Street 353, Phnom Penh",11.59016019625318,104.90002947745843,Need follow-up,5:00 AM,2025-06-23 01.04.26.jpg,2025-06-19 01:23:52
Customer 327,0100326,General Retail,Uninterested,Once,Cambodia Post Bank,1794.47,6M,"Street 8, Phnom Penh",11.596386584579886,104.91005055628094,Interested,10:00 AM,,2025-06-22 01:23:52
Customer 328,0100327,Fashion & Clothing,Aggressive or Pushy,Many times,Cambodia Post Bank,2632.67,24M,"Street 294, Phnom Penh",11.549339322577577,104.91798305784555,Repeat visit,6:00 AM,,2025-06-14 01:23:52
Customer 329,0100328,Beauty Salon,Very Welcoming,Many times,ABA,1308.78,6M,"Street 215, Phnom Penh",11.586645216414114,104.93284283288686,Interested,9:00 AM,,2025-06-03 01:23:52
Customer 330,0100329,Tourism/Hospitality,Skeptical or Distrustful,Never,ABA,7049.71,6M,"Street 122, Phnom Penh",11.535742914945283,104.93510922967636,Need follow-up,7:00 AM,,2025-06-18 01:23:52
Customer 331,0100330,Restaurant/Café,Aggressive or Pushy,Once,ABA,3163.55,18M,"Street 35, Phnom Penh",11.553029316360076,104.9347339145416,Interested,10:00 AM,,2025-06-19 01:23:52
Customer 332,0100331,Agriculture/Farming,Friendly and Open,Never,Cambodia Post Bank,6679.76,24M,"Street 433, Phnom Penh",11.568371212971249,104.88106719404918,No answer,11:00 AM,,2025-06-12 01:23:52
Customer 333,0100332,General Retail,Quiet and Reserved,Once,Cambodia Post Bank,1620.79,18M,"Street 456, Phnom Penh",11.53234903733994,104.9375902540114,Repeat visit,5:00 AM,2025-06-23 01.02.46.jpg,2025-06-10 01:23:52
Customer 334,0100333,Tourism/Hospitality,Very Welcoming,Never,Cambodia Post Bank,9754.83,24M,"Street 131, Phnom Penh",11.520612816640412,104.94712063913234,Interested,9:00 AM,,2025-06-12 01:23:52
Customer 335,0100334,Street Food Stall,Hard to Understand,Never,Cambodia Post Bank,9310.51,24M,"Street 299, Phnom Penh",11.55293778198505,104.92185642620407,Repeat visit,11:00 AM,2025-06-23 01.02.27.jpg,2025-06-07 01:23:52
Customer 336,0100335,Restaurant/Café,Busy or in a Hurry,Once,Cambodia Post Bank,1809.53,24M,"Street 341, Phnom Penh",11.572856793399787,104.85326714101559,Need follow-up,9:00 AM,2025-06-23 01.02.39.jpg,2025-05-31 01:23:52
Customer 337,0100336,Tourism/Hospitality,Skeptical or Distrustful,Once,ACLEDA,2550.41,24M,"Street 286, Phnom Penh",11.585616608927804,104.8518016293909,Interested,7:00 AM,,2025-05-25 01:23:52
Customer 338,0100337,Street Food Stall,Talkative and Engaging,Once,Wing,2567.08,12M,"Street 175, Phnom Penh",11.579713430324851,104.90749195554277,Interested,12:00 AM,,2025-06-05 01:23:52
Customer 339,0100338,Electronics & Appliances,Busy or in a Hurry,Many times,Cambodia Post Bank,782.16,18M,"Street 250, Phnom Penh",11.546515082486987,104.89496000923332,Repeat visit,1:00 AM,,2025-06-16 01:23:52
Customer 340,0100339,Fashion & Clothing,Skeptical or Distrustful,Many times,ACLEDA,3739.8,12M,"Street 313, Phnom Penh",11.582070748418086,104.93040651342584,No answer,10:00 AM,,2025-06-09 01:23:52
Customer 341,0100340,Fashion & Clothing,Talkative and Engaging,Never,Cambodia Post Bank,3444.51,12M,"Street 262, Phnom Penh",11.591285548137197,104.86983143135892,Repeat visit,5:00 AM,2025-06-23 01.03.10.jpg,2025-05-31 01:23:52
Customer 342,0100341,Fashion & Clothing,Talkative and Engaging,Never,ACLEDA,6090.5,24M,"Street 35, Phnom Penh",11.557027694570154,104.85617507975442,Repeat visit,7:00 AM,2025-06-23 01.02.34.jpg,2025-06-03 01:23:52
Customer 343,0100342,Agriculture/Farming,Aggressive or Pushy,Many times,ABA,3359.97,6M,"Street 238, Phnom Penh",11.58465137343449,104.93877064578864,Interested,3:00 AM,,2025-05-28 01:23:52
Customer 344,0100343,Repair Services,Aggressive or Pushy,Many times,Wing,3615.99,18M,"Street 75, Phnom Penh",11.541492347887022,104.87002736726429,Interested,2:00 AM,,2025-05-28 01:23:52
Customer 345,0100344,Agriculture/Farming,Talkative and Engaging,Many times,ABA,3592.79,18M,"Street 76, Phnom Penh",11.554673381890794,104.87793217690901,Interested,10:00 AM,,2025-06-16 01:23:52
Customer 346,0100345,Fashion & Clothing,Talkative and Engaging,Never,Cambodia Post Bank,3024.22,12M,"Street 288, Phnom Penh",11.592116635047333,104.93410935952349,Repeat visit,1:00 AM,,2025-06-16 01:23:52
Customer 347,0100346,General Retail,Busy or in a Hurry,Never,Cambodia Post Bank,4407.11,12M,"Street 378, Phnom Penh",11.596050502563664,104.88111862940868,Need follow-up,2:00 AM,,2025-05-25 01:23:52
Customer 348,0100347,Electronics & Appliances,Interested but Cautious,Many times,ACLEDA,6637.65,6M,"Street 228, Phnom Penh",11.579122407430992,104.8990863224611,Repeat visit,8:00 AM,,2025-05-28 01:23:52
Customer 349,0100348,Electronics & Appliances,Uninterested,Never,Wing,6762.38,24M,"Street 373, Phnom Penh",11.569130918954547,104.94878729435182,Interested,12:00 AM,2025-06-23 01.02.27.jpg,2025-05-27 01:23:52
Customer 350,0100349,Beauty Salon,Very Welcoming,Once,Wing,653.97,18M,"Street 147, Phnom Penh",11.540312431973758,104.9439004590265,No answer,3:00 AM,,2025-06-06 01:23:52
Customer 351,0100350,Fashion & Clothing,Very Welcoming,Never,None,4020.87,18M,"Street 181, Phnom Penh",11.569500825101837,104.88181720948273,No answer,9:00 AM,,2025-06-04 01:23:52
Customer 352,0100351,Agriculture/Farming,Very Welcoming,Many times,Wing,3429.4,24M,"Street 354, Phnom Penh",11.571772506401937,104.94864369142883,Need follow-up,1:00 AM,,2025-06-10 01:23:52
Customer 353,0100352,General Retail,Uninterested,Many times,Wing,9456.68,6M,"Street 417, Phnom Penh",11.5634348090759,104.8726171002316,Interested,8:00 AM,2025-06-23 01.05.23.jpg,2025-06-15 01:23:52
Customer 354,0100353,Tourism/Hospitality,Hard to Understand,Never,Wing,1564.99,6M,"Street 377, Phnom Penh",11.589347107847557,104.86243527875058,Interested,1:00 AM,,2025-06-03 01:23:52
Customer 355,0100354,Beauty Salon,Busy or in a Hurry,Many times,ACLEDA,4397.43,6M,"Street 499, Phnom Penh",11.553864073666114,104.90106858860001,No answer,11:00 AM,2025-06-23 01.02.34.jpg,2025-06-01 01:23:52
Customer 356,0100355,Agriculture/Farming,Talkative and Engaging,Once,ACLEDA,1068.98,18M,"Street 75, Phnom Penh",11.593404246556181,104.90006478947026,Repeat visit,6:00 AM,2025-06-23 01.02.34.jpg,2025-06-04 01:23:52
Customer 357,0100356,Tourism/Hospitality,Quiet and Reserved,Once,Cambodia Post Bank,4449.88,6M,"Street 129, Phnom Penh",11.547881980090583,104.92441488206025,No answer,7:00 AM,,2025-06-13 01:23:52
Customer 358,0100357,Repair Services,Busy or in a Hurry,Never,Wing,4068.81,24M,"Street 229, Phnom Penh",11.596857460945335,104.91565008673228,No answer,7:00 AM,,2025-05-29 01:23:52
Customer 359,0100358,Restaurant/Café,Quiet and Reserved,Once,None,7736.7,18M,"Street 61, Phnom Penh",11.537274504552537,104.86973813463582,Repeat visit,5:00 AM,2025-06-23 01.05.23.jpg,2025-05-26 01:23:52
Customer 360,0100359,Repair Services,Busy or in a Hurry,Many times,Wing,9161.66,18M,"Street 475, Phnom Penh",11.582022914546418,104.89553054691586,Interested,1:00 AM,,2025-05-26 01:23:52
Customer 361,0100360,Repair Services,Quiet and Reserved,Many times,ABA,3623.71,24M,"Street 62, Phnom Penh",11.574958224334527,104.87297919444637,Repeat visit,3:00 AM,2025-06-23 01.02.07.jpg,2025-06-03 01:23:52
Customer 362,0100361,Beauty Salon,Uninterested,Many times,Wing,8577.01,12M,"Street 493, Phnom Penh",11.538943639135187,104.90720008895174,Interested,1:00 AM,,2025-06-08 01:23:52
Customer 363,0100362,Electronics & Appliances,Quiet and Reserved,Many times,Cambodia Post Bank,9446.68,24M,"Street 148, Phnom Penh",11.52468946897137,104.92394598974286,Need follow-up,4:00 AM,,2025-06-22 01:23:52
Customer 364,0100363,Fashion & Clothing,Talkative and Engaging,Once,Wing,7264.24,12M,"Street 157, Phnom Penh",11.537275774528993,104.91252882029491,No answer,5:00 AM,,2025-06-13 01:23:52
Customer 365,0100364,Repair Services,Very Welcoming,Never,Wing,6550.02,6M,"Street 200, Phnom Penh",11.599997251470311,104.86486085851305,Interested,10:00 AM,,2025-06-13 01:23:52
Customer 366,0100365,Street Food Stall,Very Welcoming,Once,ACLEDA,4453.18,18M,"Street 370, Phnom Penh",11.540123047416547,104.85034569341666,Interested,6:00 AM,,2025-05-25 01:23:52
Customer 367,0100366,General Retail,Friendly and Open,Never,ACLEDA,5760.74,18M,"Street 89, Phnom Penh",11.56087971326807,104.92872201541869,No answer,5:00 AM,,2025-06-03 01:23:52
Customer 368,0100367,Electronics & Appliances,Talkative and Engaging,Many times,Cambodia Post Bank,2676.0,18M,"Street 99, Phnom Penh",11.581545010427345,104.85529402342426,Interested,9:00 AM,2025-06-23 01.04.26.jpg,2025-06-19 01:23:52
Customer 369,0100368,Agriculture/Farming,Interested but Cautious,Once,Wing,1245.69,6M,"Street 339, Phnom Penh",11.564552771794231,104.86903585292363,No answer,2:00 AM,2025-06-23 01.02.50.jpg,2025-06-03 01:23:52
Customer 370,0100369,Agriculture/Farming,Skeptical or Distrustful,Never,ABA,4442.81,6M,"Street 118, Phnom Penh",11.572314757218289,104.88813658882985,No answer,4:00 AM,,2025-05-27 01:23:52
Customer 371,0100370,General Retail,Uninterested,Never,ABA,8213.49,24M,"Street 318, Phnom Penh",11.538735264269125,104.92470935087577,Interested,6:00 AM,,2025-06-21 01:23:52
Customer 372,0100371,Beauty Salon,Quiet and Reserved,Never,Cambodia Post Bank,6660.3,12M,"Street 77, Phnom Penh",11.57981005483694,104.87709127563593,Need follow-up,11:00 AM,,2025-05-31 01:23:52
